timestamp,source,destination,delay,success,crdt_enabled,hop_count,throughput,packet_size,cumulative_packets,bytes_delivered,packet_id,stored_time,ttl,reason
1743017188.4219954,sta2,sta5,11.231285333633423,True,True,1.0,1.8,293.0,24.0,7210.0,,,,
1743017188.4229877,sta2,sta5,11.231968402862549,True,True,1.0,1.9,295.0,25.0,7505.0,,,,
1743017188.424182,sta2,sta5,11.232951402664185,True,True,1.0,2.0,294.0,26.0,7799.0,,,,
1743017188.4255633,sta2,sta5,11.234206199645996,True,True,1.0,2.1,295.0,27.0,8094.0,,,,
1743017188.4292247,sta2,sta5,11.23707127571106,True,True,1.0,2.2,295.0,28.0,8389.0,,,,
1743017189.3921497,sta4,sta1,21.841169357299805,True,True,1.0,1.8,295.0,47.0,13751.0,,,,
1743017189.5129097,sta4,sta3,19.76850700378418,True,True,1.0,1.5,295.0,33.0,9832.0,,,,
1743017190.5926955,sta2,sta4,6.265667200088501,True,True,2.0,1.3,312.0,29.0,8678.0,,,,
1743017191.9458365,sta1,sta3,3.603539228439331,True,True,1.0,1.5,312.0,34.0,10144.0,,,,
1743017191.984561,sta5,sta1,24.420109033584595,True,True,2.0,1.9,295.0,53.0,15446.0,,,,
1743017191.986872,sta5,sta1,24.422336101531982,True,True,2.0,2.0,295.0,54.0,15741.0,,,,
1743017192.0130467,sta1,sta5,3.7188327312469482,True,True,2.0,1.6,311.0,29.0,8700.0,,,,
1743017192.9391568,sta5,sta3,23.14824151992798,True,True,2.0,1.2,295.0,35.0,10439.0,,,,
1743017192.9454212,sta5,sta3,23.152465343475342,True,True,2.0,1.3,295.0,36.0,10734.0,,,,
1743017192.9722238,sta5,sta4,22.022554636001587,True,True,2.0,1.0,295.0,30.0,8973.0,,,,
1743017193.010232,sta5,sta1,25.445862531661987,True,True,3.0,2.0,294.0,55.0,16035.0,,,,
1743017193.0105007,sta4,sta1,1.0245914459228516,True,True,1.0,2.1,311.0,56.0,16346.0,,,,
1743017193.0132155,sta3,sta1,2.4586784839630127,True,True,2.0,2.2,311.0,57.0,16657.0,,,,
1743017193.0233438,sta4,sta1,25.47843337059021,True,True,5.0,2.3,295.0,58.0,16952.0,,,,
1743017193.4820337,sta4,sta2,22.562061548233032,True,True,4.0,3.7,310.0,119.0,33375.0,,,,
1743017193.493272,sta4,sta2,27.71177053451538,True,True,7.0,3.8,311.0,120.0,33686.0,,,,
1743017193.562238,sta1,sta3,31.14247488975525,True,True,5.0,1.4,309.0,37.0,11043.0,,,,
1743017193.5639668,sta2,sta3,23.919182062149048,True,True,3.0,1.5,294.0,38.0,11337.0,,,,
1743017193.5713437,sta5,sta3,11.046227931976318,True,True,1.0,1.6,312.0,39.0,11649.0,,,,
1743017193.6255865,sta3,sta5,26.719908475875854,True,True,2.0,1.4,295.0,30.0,8995.0,,,,
1743017193.6263201,sta3,sta5,26.720178365707397,True,True,2.0,1.5,295.0,31.0,9290.0,,,,
1743017194.7282033,sta1,sta3,25.020463228225708,True,True,1.0,1.7,295.0,40.0,11944.0,,,,
1743017194.7312427,sta1,sta3,25.01751446723938,True,True,1.0,1.8,295.0,41.0,12239.0,,,,
1743017194.7327318,sta1,sta3,25.018529653549194,True,True,1.0,1.9,295.0,42.0,12534.0,,,,
1743017194.7355664,sta1,sta3,25.01949715614319,True,True,1.0,2.0,295.0,43.0,12829.0,,,,
1743017194.7822247,sta1,sta4,23.855326652526855,True,True,1.0,1.0,294.0,31.0,9267.0,,,,
1743017194.7851055,sta1,sta4,23.851027011871338,True,True,1.0,1.1,295.0,32.0,9562.0,,,,
1743017194.7883377,sta1,sta4,23.85081648826599,True,True,1.0,1.2,295.0,33.0,9857.0,,,,
1743017194.7999938,sta1,sta4,23.85452175140381,True,True,1.0,1.3,295.0,34.0,10152.0,,,,
1743017194.8242822,sta1,sta5,22.65510368347168,True,True,1.0,1.5,295.0,32.0,9585.0,,,,
1743017194.8261192,sta1,sta5,22.654132843017578,True,True,1.0,1.6,294.0,33.0,9879.0,,,,
1743017194.8268187,sta1,sta5,22.652328491210938,True,True,1.0,1.7,294.0,34.0,10173.0,,,,
1743017194.827008,sta1,sta5,22.651838064193726,True,True,1.0,1.8,295.0,35.0,10468.0,,,,
1743017194.8280838,sta3,sta5,20.011512517929077,True,True,1.0,1.9,311.0,36.0,10779.0,,,,
1743017195.685301,sta4,sta1,28.138659954071045,True,True,4.0,2.2,295.0,64.0,18646.0,,,,
1743017195.68915,sta4,sta1,28.139641761779785,True,True,4.0,2.3,295.0,65.0,18941.0,,,,
1743017195.6993654,sta2,sta1,11.44533395767212,True,True,4.0,2.4,312.0,66.0,19253.0,,,,
1743017195.699814,sta4,sta1,8.929967403411865,True,True,3.0,2.5,312.0,67.0,19565.0,,,,
1743017195.7238295,sta5,sta4,24.788751363754272,True,True,3.0,1.3,295.0,35.0,10447.0,,,,
