timestamp,source,destination,delay,success,crdt_enabled,hop_count,throughput,packet_size,cumulative_packets,bytes_delivered
1743682836.6575341,sta1,sta5,0.0012331008911132812,True,True,1,0.8,248,21,5189
1743682837.0337257,sta2,sta1,0.0033559799194335938,True,True,1,0.8,248,21,5188
1743682837.0379243,sta2,sta3,0.00139617919921875,True,True,1,0.8,248,22,5438
1743682837.0385756,sta2,sta4,0.0005245208740234375,True,True,1,0.8,248,22,5439
1743682837.039344,sta2,sta5,0.0003476142883300781,True,True,1,0.8,248,22,5437
1743682837.5462964,sta3,sta1,0.0007710456848144531,True,True,1,0.8,248,22,5436
1743682837.5470235,sta3,sta2,0.00044727325439453125,True,True,1,0.8,246,22,5438
1743682837.5492232,sta3,sta4,0.0018215179443359375,True,True,1,0.8,248,23,5687
1743682837.552309,sta3,sta5,0.001962423324584961,True,True,1,0.8,248,23,5685
1743682837.9059963,sta4,sta1,0.0008292198181152344,True,True,1,0.8,248,23,5684
1743682837.907469,sta4,sta2,0.00035500526428222656,True,True,1,0.8,248,23,5686
1743682837.9093196,sta4,sta3,0.00038909912109375,True,True,1,0.8,248,23,5686
1743682837.9173832,sta4,sta5,0.007892608642578125,True,True,1,0.8,247,24,5932
1743682838.200501,sta5,sta1,0.0011661052703857422,True,True,1,0.8,247,24,5931
1743682838.2043087,sta5,sta2,0.0020477771759033203,True,True,1,0.8,248,24,5934
1743682838.206475,sta5,sta3,0.00023293495178222656,True,True,1,0.8,247,24,5933
1743682838.2074404,sta5,sta4,0.0008552074432373047,True,True,1,0.8,248,24,5935
1743682841.661206,sta1,sta2,0.0002162456512451172,True,True,1,0.8,248,25,6182
1743682841.661754,sta1,sta3,0.00020766258239746094,True,True,1,0.8,248,25,6181
1743682841.6621182,sta1,sta4,0.00022935867309570312,True,True,1,0.8,248,25,6183
1743682841.6624866,sta1,sta5,0.00019502639770507812,True,True,1,0.8,248,25,6180
1743682842.0510013,sta2,sta1,0.0002052783966064453,True,True,1,0.8,248,25,6179
1743682842.054725,sta2,sta3,0.0003871917724609375,True,True,1,0.8,247,26,6428
1743682842.0581136,sta2,sta4,0.0022437572479248047,True,True,1,0.8,247,26,6430
1743682842.0595121,sta2,sta5,0.0009505748748779297,True,True,1,0.8,247,26,6427
1743682842.5574377,sta3,sta1,0.0002460479736328125,True,True,1,0.8,247,26,6426
1743682842.557919,sta3,sta2,0.00016188621520996094,True,True,1,0.8,248,26,6430
1743682842.5582645,sta3,sta4,0.00019359588623046875,True,True,1,0.8,248,27,6678
1743682842.558599,sta3,sta5,0.0001697540283203125,True,True,1,0.8,248,27,6675
1743682842.9340894,sta4,sta1,0.003151416778564453,True,True,1,0.8,248,27,6674
1743682842.9377987,sta4,sta2,0.0014722347259521484,True,True,1,0.8,246,27,6676
1743682842.9435036,sta4,sta3,0.0014190673828125,True,True,1,0.8,248,27,6676
1743682842.9513562,sta4,sta5,0.0022974014282226562,True,True,1,0.8,248,28,6923
1743682843.211152,sta5,sta1,0.0013887882232666016,True,True,1,0.8,248,28,6922
1743682843.21488,sta5,sta2,0.0037779808044433594,True,True,1,0.8,248,28,6924
1743682843.2212076,sta5,sta3,0.000339508056640625,True,True,1,0.8,248,28,6924
1743682843.2221117,sta5,sta4,0.0004048347473144531,True,True,1,0.8,248,28,6926
1743682846.6689725,sta1,sta2,0.0007114410400390625,True,True,1,0.8,248,29,7172
1743682846.6697288,sta1,sta3,0.00024962425231933594,True,True,1,0.8,248,29,7172
1743682846.6709495,sta1,sta4,0.0010712146759033203,True,True,1,0.8,248,29,7174
1743682846.6723998,sta1,sta5,0.00041103363037109375,True,True,1,0.8,247,29,7170
1743682847.0646777,sta2,sta1,0.0013546943664550781,True,True,1,0.8,248,29,7170
1743682847.070945,sta2,sta3,0.002247333526611328,True,True,1,0.8,248,30,7420
1743682847.074981,sta2,sta4,0.0008869171142578125,True,True,1,0.8,248,30,7422
1743682847.076468,sta2,sta5,0.0009694099426269531,True,True,1,0.8,248,30,7418
1743682847.5629945,sta3,sta1,0.0006394386291503906,True,True,1,0.8,247,30,7417
1743682847.5643735,sta3,sta2,0.0006461143493652344,True,True,1,0.8,247,30,7419
1743682847.5663235,sta3,sta4,0.00177764892578125,True,True,1,0.8,248,31,7670
1743682847.568277,sta3,sta5,0.0021822452545166016,True,True,1,0.8,247,31,7665
1743682847.9556026,sta4,sta1,0.00021958351135253906,True,True,1,0.8,248,31,7665
1743682847.9560766,sta4,sta2,0.00012731552124023438,True,True,1,0.8,248,31,7667
1743682847.9564452,sta4,sta3,9.942054748535156e-05,True,True,1,0.8,247,31,7667
1743682847.9569232,sta4,sta5,0.00015664100646972656,True,True,1,0.8,248,32,7913
1743682848.2268562,sta5,sta1,0.0008809566497802734,True,True,1,0.8,246,32,7911
1743682848.2288778,sta5,sta2,0.0015802383422851562,True,True,1,0.8,248,32,7915
1743682848.2307646,sta5,sta3,0.0024518966674804688,True,True,1,0.8,248,32,7915
1743682848.2315893,sta5,sta4,0.0001518726348876953,True,True,1,0.8,248,32,7918
1743682851.6788285,sta1,sta2,0.0011737346649169922,True,True,1,0.8,248,33,8163
1743682851.680317,sta1,sta3,0.0013332366943359375,True,True,1,0.8,248,33,8163
